Initializing FNO2D (hidden_channels=64, modes=(16, 16))...
Generating 3200 training samples and 32 test samples...
Data shapes: f_train=(3200, 64, 64, 3), u_train=(3200, 64, 64, 1)
Data stats: f std=1.0000, u std=0.9993
Starting training for 501 epochs (50100 steps)...
Epoch  330 | Train MSE: 9.986807e-01 | Test MSE: 2.281656e-04 | Test Rel L2: 1.000000 | Best Rel L2: 0.183034 | LR: 2.58e-04 | Time: 0.69s
Epoch  340 | Train MSE: 9.986807e-01 | Test MSE: 2.281656e-04 | Test Rel L2: 1.000000 | Best Rel L2: 0.183034 | LR: 2.31e-04 | Time: 0.70s
Epoch  350 | Train MSE: 9.986807e-01 | Test MSE: 2.281655e-04 | Test Rel L2: 1.000000 | Best Rel L2: 0.183034 | LR: 2.05e-04 | Time: 0.69s
Epoch  360 | Train MSE: 9.986809e-01 | Test MSE: 2.281656e-04 | Test Rel L2: 1.000000 | Best Rel L2: 0.183034 | LR: 1.81e-04 | Time: 0.69s
Epoch  370 | Train MSE: 9.986807e-01 | Test MSE: 2.281656e-04 | Test Rel L2: 1.000000 | Best Rel L2: 0.183034 | LR: 1.57e-04 | Time: 0.70s
Epoch  380 | Train MSE: 9.986807e-01 | Test MSE: 2.281656e-04 | Test Rel L2: 1.000000 | Best Rel L2: 0.183034 | LR: 1.35e-04 | Time: 0.70s
Epoch  390 | Train MSE: 9.986807e-01 | Test MSE: 2.281655e-04 | Test Rel L2: 1.000000 | Best Rel L2: 0.183034 | LR: 1.14e-04 | Time: 0.69s
Epoch  400 | Train MSE: 9.986807e-01 | Test MSE: 2.281656e-04 | Test Rel L2: 1.000000 | Best Rel L2: 0.183034 | LR: 9.51e-05 | Time: 0.70s
Epoch  410 | Train MSE: 9.986807e-01 | Test MSE: 2.281656e-04 | Test Rel L2: 1.000000 | Best Rel L2: 0.183034 | LR: 7.75e-05 | Time: 0.70s
Epoch  420 | Train MSE: 9.986808e-01 | Test MSE: 2.281656e-04 | Test Rel L2: 1.000000 | Best Rel L2: 0.183034 | LR: 6.16e-05 | Time: 0.70s
Epoch  430 | Train MSE: 9.986807e-01 | Test MSE: 2.281655e-04 | Test Rel L2: 1.000000 | Best Rel L2: 0.183034 | LR: 4.74e-05 | Time: 0.70s
Epoch  440 | Train MSE: 9.986807e-01 | Test MSE: 2.281656e-04 | Test Rel L2: 1.000000 | Best Rel L2: 0.183034 | LR: 3.50e-05 | Time: 0.70s
Epoch  450 | Train MSE: 9.986807e-01 | Test MSE: 2.281655e-04 | Test Rel L2: 1.000000 | Best Rel L2: 0.183034 | LR: 2.44e-05 | Time: 0.70s
Epoch  460 | Train MSE: 9.986807e-01 | Test MSE: 2.281656e-04 | Test Rel L2: 1.000000 | Best Rel L2: 0.183034 | LR: 1.56e-05 | Time: 0.70s
Epoch  470 | Train MSE: 9.986807e-01 | Test MSE: 2.281655e-04 | Test Rel L2: 1.000000 | Best Rel L2: 0.183034 | LR: 8.82e-06 | Time: 0.69s
Epoch  480 | Train MSE: 9.986807e-01 | Test MSE: 2.281655e-04 | Test Rel L2: 1.000000 | Best Rel L2: 0.183034 | LR: 3.93e-06 | Time: 0.70s
